10 10
3
27
4
2 6
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    1;   1M;   1M;   3M;   3M;   1M;   1M;    0
   0;    0;   1M;   1M;   1M;   3M;    3;    1;    1;    0
   0;    0;    1;   1M;    1;   1M;   1M;   1M;    1;    0
   0;    0;    0;    0;    1;    1;    1;    1;    1;    0
   0;    0;    1;    1;    1;   1P;    1;   1P;   1P;    0
   0;    0;    2;    1;    1;    1;    1;    2;    2;    0
   0;    0;   2M;   2M;    2;   2M;    2;    2;    0;    0
   0;    2;   2M;   2M;   2M;   2M;    2;    2;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0
